,year,month,prccem,ipcem,prcpet,rresc,rnonc,ip,rdefs,milemp,gprc,gcem,gprcpet,gres,gnon,gip,gdefs,gmilemp,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
0,1964,1,,0.47425,13.4,115401.0,142180.0,44.6,,2687.0,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
1,1964,2,,0.53123,13.4,115118.0,144190.0,45.9,1.6634,2696.0,,0.11346044,0.0,-0.0024553302,0.014038014,0.028731326,,0.0033438634,0,1,0,0,0,0,0,0,0,0,0,0
2,1964,3,,0.64255,13.4,123663.0,145577.0,46.2,1.6626,2693.0,,0.1902496,0.0,0.071602434,0.009573282,0.0065146643,-0.00048106647,-0.0011133793,0,0,1,0,0,0,0,0,0,0,0,0
3,1964,4,,0.82585,13.4,116178.0,150793.0,46.9,1.6626,2694.0,,0.25096855,0.0,-0.062436625,0.03520288,0.015037893,0.0,0.00037126415,0,0,0,1,0,0,0,0,0,0,0,0
4,1964,5,,1.0272,13.4,111034.0,149259.0,47.1,1.661,2690.0,,0.21817875,0.0,-0.045287035,-0.010224983,0.004255261,-0.00096282776,-0.0014858844,0,0,0,0,1,0,0,0,0,0,0,0
5,1964,6,,1.0986,13.4,109138.0,154347.0,47.9,1.6601,2687.0,,0.067200035,0.0,-0.017223325,0.033520263,0.016842568,-0.00054200727,-0.001115864,0,0,0,0,0,1,0,0,0,0,0,0
6,1964,7,,1.1071,13.4,110492.0,155871.0,45.1,1.6601,2696.0,,0.007707324,0.0,0.0123299835,0.009825428,-0.060233325,0.0,0.0033438634,0,0,0,0,0,0,1,0,0,0,0,0
7,1964,8,,1.1434,13.4,111540.0,154130.0,46.8,1.6582,2693.0,,0.032262247,0.0,0.009440151,-0.01123234,0.037000973,-0.0011451393,-0.0011133793,0,0,0,0,0,0,0,1,0,0,0,0
8,1964,9,,1.0772,13.4,108353.0,155359.0,48.7,1.6567,2690.0,,-0.059641108,0.0,-0.028988855,0.007942165,0.03979586,-0.0009050111,-0.0011146202,0,0,0,0,0,0,0,0,1,0,0,0
9,1964,10,,1.1332,13.4,108173.0,155020.0,48.3,1.6567,2680.0,,0.0506804,0.0,-0.0016626182,-0.002184427,-0.008247501,0.0,-0.003724399,0,0,0,0,0,0,0,0,0,1,0,0
10,1964,11,,0.82481,13.4,109273.0,153501.0,48.6,1.6537,2678.0,,-0.31764773,0.0,0.010117541,-0.009847059,0.0061919545,-0.001812483,-0.00074654724,0,0,0,0,0,0,0,0,0,0,1,0
11,1964,12,287.0,0.54381,13.4,108518.0,157225.0,48.0,1.6523,2663.0,,-0.41655314,0.0,-0.0069332803,0.023970818,-0.012422489,-0.0008469413,-0.0056169406,0,0,0,0,0,0,0,0,0,0,0,1
12,1965,1,287.0,0.51136,13.4,106624.0,154831.0,48.8,1.6523,2663.0,0.0,-0.061526116,0.0,-0.01760743,-0.015343701,0.016529286,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
13,1965,2,287.0,0.4964,13.4,107148.0,157097.0,50.1,1.6496,2652.0,0.0,-0.029691773,0.0,0.0049024294,0.01452925,0.026290681,-0.0016354049,-0.0041392343,0,1,0,0,0,0,0,0,0,0,0,0
14,1965,3,287.0,0.61759,13.4,113296.0,160364.0,51.1,1.6507,2647.0,0.0,0.21844277,0.0,0.055792805,0.020582782,0.01976349,0.00066657225,-0.0018871491,0,0,1,0,0,0,0,0,0,0,0,0
15,1965,4,287.0,0.85605,13.4,108314.0,162379.0,51.1,1.6507,2645.0,0.0,0.326504,0.0,-0.044969447,0.012486878,0.0,0.0,-0.0007558579,0,0,0,1,0,0,0,0,0,0,0,0
16,1965,5,287.0,1.0033,13.4,105639.0,166701.0,51.5,1.6529,2641.0,0.0,0.158721,0.0,-0.025006795,0.02626868,0.0077973404,0.0013318851,-0.001513432,0,0,0,0,1,0,0,0,0,0,0,0
17,1965,6,287.0,1.1187,13.4,104673.0,170144.0,52.8,1.6535,2655.0,0.0,0.1088728,0.0,-0.009186416,0.020443348,0.024929369,0.00036292063,0.0052870214,0,0,0,0,0,1,0,0,0,0,0,0
18,1965,7,287.0,1.0987,13.4,108056.0,168181.0,49.9,1.6535,2669.0,0.0,-0.018039616,0.0,0.031808406,-0.011604357,-0.056490142,0.0,0.005259216,0,0,0,0,0,0,1,0,0,0,0,0
19,1965,8,287.0,1.1772,13.4,110249.0,172113.0,51.4,1.6547,2686.0,0.0,0.069010995,0.0,0.020091834,0.023110457,0.029617168,0.0007255184,0.006349228,0,0,0,0,0,0,0,1,0,0,0,0
