,state,year,govelec,black,metro,unem,criv,crip,lcriv,lcrip,gcriv,gcrip,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,y93,ag0_14,ag15_17,ag18_24,ag25_34,incpc,polpc,gincpc,gpolpc,cag0_14,cag15_17,cag18_24,cag25_34,cunem,cblack,cmetro,pris,lpris,gpris,final1,final2
0,1,80,0,0.256,0.632,0.08775,4.4478683,44.476376,1.492425,3.794958,0.09878576,0.17478514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24088341,0.057524394,0.13225475,0.1538264,7673.1763,235.00256,0.08963448,0.054186985,-0.0012273026,-0.001192627,7.678985e-05,0.0019898796,0.016750002,-0.059999466,0.00020000458,141.33472,4.951131,-0.020659447,0,0
1,1,81,0,0.2557,0.6362,0.10667,4.700944,44.248787,1.5477633,3.789828,0.055338383,-0.0051300526,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2367951,0.054605767,0.13243175,0.15845878,8442.723,227.22633,0.0955742,-0.033649836,-0.0040883063,-0.0029186297,0.00017699241,0.0046323873,0.018919993,-0.030000687,0.0041999817,163.53365,5.0970187,0.14588785,0,0
2,1,82,1,0.2554,0.6404,0.14367,4.4975796,42.050446,1.5035393,3.73887,-0.044224024,-0.050958157,0,1,0,0,0,0,0,0,0,0,0,0,0,0.23363058,0.05197452,0.13171974,0.15847133,8855.808,219.43948,0.047768626,-0.03487009,-0.0031645203,-0.0026312447,-0.00071200373,1.2550354e-05,0.036999997,-0.02999878,0.00420002,183.69481,5.213276,0.11625719,0,0
3,1,83,0,0.2551,0.6446,0.13667,4.186833,37.084393,1.4319446,3.6131961,-0.071594715,-0.12567377,0,0,1,0,0,0,0,0,0,0,0,0,0,0.23131672,0.04956787,0.13040163,0.15963396,9411.027,222.59785,0.06080865,0.014290308,-0.0023138619,-0.0024066495,-0.0013181114,0.0011626243,-0.006999998,-0.030000687,0.0041999817,218.6242,5.3873544,0.17407846,0,0
4,1,84,0,0.2548,0.64879996,0.111669995,4.353239,35.042255,1.4709202,3.5565546,0.038975596,-0.05664158,0,0,0,1,0,0,0,0,0,0,0,0,0,0.22798581,0.048582997,0.1277834,0.16093117,10267.68,214.39777,0.087118946,-0.03753379,-0.0033308982,-0.0009848737,-0.002618227,0.0012972069,-0.025,-0.030000687,0.0041999817,245.06862,5.5015383,0.1141839,0,0
5,1,85,0,0.2545,0.65300006,0.08908,4.630758,35.2668,1.5327206,3.562942,0.06180036,0.006387472,0,0,0,0,1,0,0,0,0,0,0,0,0,0.22527057,0.0488296,0.124087594,0.16259754,10974.39,220.53864,0.06656328,0.028239885,-0.0027152442,0.0002466011,-0.0036958123,0.0016663742,-0.022589998,-0.02999878,0.004200058,259.26114,5.5578356,0.056297302,0,0
6,1,86,1,0.2542,0.65720004,0.09833,5.665331,37.873497,1.7343653,3.6342516,0.20164478,0.07130957,0,0,0,0,0,1,0,0,0,0,0,0,0,0.22244489,0.050100204,0.11973947,0.16382764,11666.695,226.80362,0.061173882,0.028011635,-0.0028256797,0.0012706041,-0.004348116,0.0012301063,0.009250002,-0.030000687,0.0041999817,270.55124,5.6004615,0.042625904,0,0
7,1,87,0,0.2539,0.6614,0.07775,5.686924,39.58107,1.7381696,3.678351,0.0038042068,0.04409933,0,0,0,0,0,0,1,0,0,0,0,0,0,0.22042342,0.050062265,0.11606476,0.16438356,12289.268,241.17062,0.0519881,0.061420135,-0.0020214843,-3.7937163e-05,-0.003674717,0.0005559158,-0.020580005,-0.030000687,0.0041999817,288.17633,5.663573,0.063111305,0,0
8,1,88,0,0.2536,0.6656,0.07208,5.728628,41.055916,1.7454761,3.7149348,0.007306576,0.0365839,0,0,0,0,0,0,0,1,0,0,0,0,0,0.21968192,0.048707753,0.11356859,0.16351889,13052.042,256.26242,0.06021827,0.060697336,-0.0007415009,-0.0013545132,-0.0024961662,-0.0008646774,-0.0056699943,-0.02999878,0.0041999817,313.873,5.7489886,0.08541584,0,0
9,1,89,0,0.2533,0.66980004,0.07025,6.0369725,41.251614,1.7979027,3.7196903,0.052426577,0.004755497,0,0,0,0,0,0,0,0,1,0,0,0,0,0.21910669,0.04640199,0.11166253,0.16203474,13967.873,268.88336,0.06781531,0.048075687,-0.0005752182,-0.0023057652,-0.0019060612,-0.0014841461,-0.0018300057,-0.030000687,0.004200058,307.08252,5.7271166,-0.021872044,0,0
10,1,90,1,0.253,0.674,0.06775,7.0691357,41.968887,1.9557382,3.7369285,0.15783548,0.01723814,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2182716,0.044938274,0.10987654,0.15975308,14896.788,280.49384,0.06438571,0.04227406,-0.0008350944,-0.0014637136,-0.001785984,-0.0022816563,-0.0024999953,-0.030000687,0.0041999817,336.84863,5.8196335,0.0925169,0,0
11,1,91,0,0.2527,0.6782,0.072,8.439609,45.203423,2.132936,3.8111727,0.17719781,0.07424426,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2176039,0.04425428,0.10929095,0.1574572,15600.99,288.9731,0.046188764,0.029781904,-0.00066768646,-0.00068399427,-0.00058559416,-0.0022958755,0.004249997,-0.02999878,0.0041999817,379.3827,5.938545,0.11891174,0,0
12,1,92,0,0.2524,0.6824,0.073,8.712421,43.94321,2.1647499,3.7828982,0.03181386,-0.028274536,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2153214,0.043982603,0.10874819,0.15466408,16494.385,290.0435,0.055685617,0.003697216,-0.002282505,-0.00027167797,-0.00054276467,-0.0027931214,0.000999999,-0.030000687,0.0041999817,400.978,5.9939065,0.05536127,0,0
13,1,93,0,0.2521,0.6866,0.075,7.804156,40.98352,2.0546565,3.71317,-0.110093355,-0.069728136,0,0,0,0,0,0,0,0,0,0,0,0,1,0.21351802,0.04370671,0.108430855,0.1523764,17105.346,296.84738,0.036371022,0.02318727,-0.001803379,-0.00027588845,-0.00031733513,-0.0022876835,0.0020000075,-0.030000687,0.004200058,409.3282,6.0145173,0.02061081,0,0
