,id,year,salary,pubindx,totpge,assist,assoc,prof,chair,top20phd,yearphd,female,osu,iowa,indiana,purdue,msu,minn,mich,wisc,illinois,y92,y95,y99,lsalary,exper,expersq,pubindxsq,pubindx0,lpubindx
0,101,92,,30.54,92.667,0.0,0.0,1.0,0.0,0.0,73.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,,19.0,361.0,932.69165,0.0,3.4190373
1,101,95,,30.96,107.17,0.0,0.0,1.0,0.0,0.0,73.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,,22.0,484.0,958.52155,0.0,3.432696
2,101,99,107100.0,40.45,186.5,0.0,0.0,1.0,0.0,0.0,73.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,11.581518,26.0,676.0,1636.2025,0.0,3.7000666
3,102,92,79420.0,33.54,127.5,0.0,0.0,1.0,0.0,0.0,76.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,11.282505,16.0,256.0,1124.9316,0.0,3.5127387
4,102,95,88239.0,33.89,133.0,0.0,0.0,1.0,0.0,0.0,76.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,11.387804,19.0,361.0,1148.5321,0.0,3.52312
5,102,99,100450.0,36.23,191.5,0.0,0.0,1.0,0.0,0.0,76.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,11.517415,23.0,529.0,1312.6129,0.0,3.5898874
6,103,92,87450.0,44.9,183.5,0.0,0.0,1.0,0.0,1.0,61.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,11.378822,31.0,961.0,2016.0101,0.0,3.8044379
7,103,95,96831.0,45.09,194.5,0.0,0.0,1.0,0.0,1.0,61.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,11.480722,34.0,1156.0,2033.1082,0.0,3.8086605
8,103,99,108290.0,46.81,224.5,0.0,0.0,1.0,0.0,1.0,61.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,11.592568,38.0,1444.0,2191.1763,0.0,3.846097
9,104,92,,1.58,24.5,1.0,0.0,0.0,0.0,1.0,91.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,,1.0,1.0,2.4964,0.0,0.45742488
10,104,95,,22.74,118.5,,,,0.0,1.0,91.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,,4.0,16.0,517.1076,0.0,3.1241255
11,104,99,82000.0,46.21,232.5,0.0,1.0,0.0,0.0,1.0,91.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,11.314474,8.0,64.0,2135.364,0.0,3.8331962
12,105,92,54585.0,2.83,61.0,,,,0.0,1.0,72.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,10.907515,20.0,400.0,8.0089,0.0,1.0402766
13,105,95,59360.0,2.83,61.0,,,,0.0,1.0,72.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,10.991376,23.0,529.0,8.0089,0.0,1.0402766
14,105,99,63610.0,2.83,80.0,0.0,1.0,0.0,0.0,1.0,72.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,11.060526,27.0,729.0,8.0089,0.0,1.0402766
15,106,92,56785.0,25.9,145.5,,,,0.0,0.0,76.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,10.947027,16.0,256.0,670.81,0.0,3.254243
16,106,95,60850.0,25.9,145.5,,,,0.0,0.0,76.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,11.016167,19.0,361.0,670.81,0.0,3.254243
17,106,99,68440.0,25.9,145.5,0.0,0.0,1.0,0.0,0.0,76.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,11.133713,23.0,529.0,670.81,0.0,3.254243
18,107,92,59925.0,27.12,66.833,0.0,0.0,1.0,0.0,1.0,66.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,11.000849,26.0,676.0,735.49445,0.0,3.3002715
19,107,95,66093.0,27.12,66.833,0.0,0.0,1.0,0.0,1.0,66.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,11.098818,29.0,841.0,735.49445,0.0,3.3002715
20,107,99,71170.0,28.29,89.833,0.0,0.0,1.0,0.0,1.0,66.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,11.172827,33.0,1089.0,800.32416,0.0,3.3425083
21,108,92,59305.0,5.87,69.833,0.0,0.0,1.0,1.0,1.0,83.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,10.990449,9.0,81.0,34.456898,0.0,1.7698547
