,year,age,agesq,nbh,cbd,inst,linst,price,rooms,area,land,baths,dist,ldist,lprice,y81,larea,lland,linstsq
0,1978,48,2304.0,4,3000.0,1000.0,6.9078,60000.0,7,1660,4578.0,1,10700.0,9.277999,11.0021,0,7.4145727,8.429017,47.717705
1,1978,83,6889.0,4,4000.0,1000.0,6.9078,40000.0,6,2612,8370.0,2,11000.0,9.305651,10.596635,0,7.8678713,9.032409,47.717705
2,1978,58,3364.0,4,4000.0,1000.0,6.9078,34000.0,6,1144,5000.0,1,11500.0,9.350102,10.434115,0,7.0422864,8.517193,47.717705
3,1978,11,121.0,4,4000.0,1000.0,6.9078,63900.0,5,1136,10000.0,1,11900.0,9.384294,11.065075,0,7.035269,9.2103405,47.717705
4,1978,48,2304.0,4,4000.0,2000.0,7.6009,44000.0,5,1868,10000.0,1,12100.0,9.400961,10.691945,0,7.532624,9.2103405,57.77368
5,1978,78,6084.0,4,3000.0,2000.0,7.6009,46000.0,6,1780,9500.0,3,10000.0,9.21034,10.736397,0,7.484369,9.159047,57.77368
6,1978,22,484.0,4,4000.0,2000.0,7.6009,56000.0,6,1700,10878.0,2,11700.0,9.367344,10.933107,0,7.4383836,9.2944975,57.77368
7,1978,78,6084.0,4,3000.0,2000.0,7.6009,38500.0,6,1556,3870.0,2,10200.0,9.230143,10.5584135,0,7.3498735,8.26101,57.77368
8,1978,42,1764.0,4,3000.0,2000.0,7.6009,60500.0,8,1642,7000.0,2,10500.0,9.259131,11.010399,0,7.4036703,8.853665,57.77368
9,1978,41,1681.0,4,3000.0,2000.0,7.6009,55000.0,5,1443,7950.0,2,11000.0,9.305651,10.915089,0,7.2744794,8.980927,57.77368
10,1978,78,6084.0,4,1000.0,4000.0,8.294,39000.0,6,1439,4990.0,1,8600.0,9.059517,10.571317,0,7.2717037,8.515191,68.79043
11,1978,38,1444.0,0,6000.0,4000.0,8.294,41000.0,5,1482,8017.0,1,12200.0,9.409191,10.621327,0,7.301148,8.98932,68.79043
12,1978,18,324.0,0,5000.0,4000.0,8.294,50900.0,6,1290,12538.0,2,12400.0,9.425452,10.837618,0,7.1623974,9.43652,68.79043
